,trainingsizes,frames,masterframes,results,result_sums,mean,qvalues,times,mini,result_q1,result_q2,result_q3,maxi
10,1000,"[73, 105, 62, 62, 62, 62, 82, 98, 62, 62, 62, 62, 70, 98, 62, 62, 62, 66, 98, 62, 66, 74, 46, 76, 62, 66, 62, 211, 62, 62, 62, 98, 98, 77, 62, 62, 62, 45, 112, 98, 62, 62, 62, 62, 134, 62, 98, 76, 62, 62, 98, 134, 98, 108, 158, 62, 98, 62, 134, 109, 68, 62, 98, 77, 62, 62, 62, 93, 62, 188, 76, 62, 62, 62, 45, 62, 175, 62, 62, 62, 62, 62, 134, 76, 68, 98, 62, 78, 62, 75, 48, 98, 211, 50, 134, 175, 62, 62, 62, 98]",75569,"[-5.0, -4.0, -3.0, -3.0, -5.0, -2.0, -5.0, -5.0, -5.0, -4.0, -4.0, -2.0, -4.0, -3.0, -4.0, -4.0, -4.0, -4.0, -2.0, -4.0, -3.0, -5.0, 1.0, -5.0, -4.0]",-92.0,-3.68,2730,1172,-5.0,-5.0,-4.0,-3.0,1.0
11,1100,"[188, 62, 62, 98, 76, 98, 134, 74, 72, 62, 62, 175, 62, 63, 134, 98, 134, 48, 62, 134, 108, 62, 62, 63, 134, 98, 175, 70, 134, 62, 62, 65, 62, 98, 62, 62, 62, 62, 98, 62, 62, 62, 98, 62, 62, 70, 62, 62, 63, 62, 67, 62, 62, 65, 98, 68, 62, 62, 98, 62, 77, 98, 64, 62, 78, 175, 62, 62, 63, 62, 71, 111, 62, 78, 98, 62, 98, 134, 98, 62, 62, 62, 64, 63, 62, 134, 62, 62, 62, 62, 62, 74, 62, 98, 113, 62, 98, 98, 109, 44]",83693,"[-5.0, -5.0, -5.0, -4.0, -4.0, -4.0, -4.0, -4.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -4.0, -5.0, -4.0, -1.0, -4.0, -4.0]",-110.0,-4.4,2923,1132,-5.0,-5.0,-5.0,-4.0,-1.0
12,1200,"[98, 69, 76, 72, 98, 62, 77, 62, 62, 62, 69, 60, 288, 98, 62, 62, 62, 62, 62, 98, 62, 134, 62, 62, 62, 98, 62, 62, 105, 134, 67, 62, 62, 78, 104, 66, 98, 62, 62, 131, 98, 175, 74, 62, 63, 64, 62, 175, 62, 62, 62, 98, 98, 98, 45, 62, 51, 134, 62, 98, 59, 58, 62, 62, 98, 98, 74, 163, 62, 175, 98, 247, 98, 114, 134, 62, 98, 98, 134, 98, 62, 62, 77, 67, 175, 98, 62, 48, 98, 134, 62, 191, 98, 62, 62, 62, 100, 62, 62, 114]",92544,"[-5.0, -5.0, 1.0, -4.0, -2.0, -5.0, -5.0, -3.0, -5.0, -5.0, -5.0, -5.0, -2.0, -3.0, -3.0, -4.0, -5.0, -2.0, -5.0, -5.0, -2.0, -5.0, 1.0, -5.0, -5.0]",-93.0,-3.72,3094,1403,-5.0,-5.0,-5.0,-3.0,1.0
13,1300,"[98, 62, 98, 98, 175, 62, 62, 62, 77, 62, 62, 62, 49, 74, 69, 62, 98, 49, 72, 98, 62, 62, 143, 66, 98, 98, 102, 62, 98, 98, 62, 62, 134, 69, 55, 65, 137, 62, 62, 288, 111, 62, 98, 62, 53, 62, 175, 62, 134, 170, 54, 58, 62, 62, 62, 62, 98, 98, 62, 62, 69, 62, 100, 62, 62, 163, 49, 62, 71, 62, 62, 62, 98, 62, 62, 98, 62, 62, 62, 134, 64, 62, 65, 71, 62, 62, 98, 62, 62, 62, 98, 62, 135, 98, 62, 62, 62, 62, 98, 46]",100630,"[-4.0, -4.0, -1.0, -5.0, -5.0, -5.0, 4.0, -4.0, -3.0, -5.0, 7.0, -5.0, -4.0, -4.0, -5.0, -5.0, -3.0, -5.0, -2.0, -3.0, -5.0, -5.0, -4.0, 5.0, -5.0]",-75.0,-3.0,3249,1217,-5.0,-5.0,-4.0,-3.0,7.0
14,1400,"[62, 62, 64, 62, 62, 76, 98, 134, 62, 62, 62, 134, 78, 62, 62, 77, 247, 62, 191, 134, 134, 62, 62, 62, 103, 64, 73, 62, 175, 71, 62, 98, 62, 62, 62, 98, 62, 62, 62, 99, 98, 62, 74, 98, 113, 134, 62, 62, 62, 62, 63, 62, 62, 62, 134, 71, 72, 134, 62, 62, 62, 98, 64, 98, 62, 62, 98, 98, 98, 62, 134, 62, 62, 62, 68, 62, 65, 134, 71, 62, 75, 98, 75, 111, 62, 62, 98, 100, 62, 62, 98, 62, 62, 138, 134, 98, 62, 62, 98, 89]",108983,"[-4.0, -3.0, -4.0, -2.0, -5.0, -4.0, -4.0, -4.0, -5.0, -4.0, -4.0, -4.0, -4.0, -4.0, -3.0, -4.0, -4.0, -3.0, -5.0, -1.0, -4.0, -5.0, -4.0, -5.0, -5.0]",-98.0,-3.92,3429,1308,-5.0,-4.0,-4.0,-4.0,-1.0
15,1500,"[78, 62, 62, 98, 134, 64, 134, 134, 100, 62, 143, 62, 69, 65, 175, 98, 65, 98, 111, 62, 62, 134, 62, 98, 62, 62, 76, 62, 62, 175, 98, 71, 101, 189, 62, 62, 62, 64, 71, 62, 62, 66, 62, 98, 68, 112, 62, 62, 62, 177, 62, 102, 76, 175, 62, 95, 62, 67, 62, 62, 99, 62, 62, 98, 98, 175, 98, 62, 288, 65, 95, 69, 211, 101, 224, 98, 107, 62, 62, 62, 98, 62, 62, 73, 62, 62, 72, 62, 62, 58, 62, 149, 62, 62, 143, 62, 114, 67, 62, 62]",117928,"[-1.0, -4.0, -3.0, -4.0, 4.0, 2.0, -4.0, -2.0, -1.0, -4.0, -5.0, 0.0, 0.0, 1.0, -3.0, -2.0, -5.0, -4.0, -1.0, -4.0, -3.0, -5.0, -4.0, -4.0, 6.0]",-50.0,-2.0,3571,1417,-5.0,-4.0,-3.0,-1.0,6.0
16,1600,"[134, 77, 165, 184, 114, 98, 62, 109, 64, 98, 62, 70, 62, 62, 66, 128, 211, 175, 73, 62, 164, 97, 62, 72, 62, 136, 175, 62, 111, 134, 62, 62, 62, 76, 111, 62, 62, 175, 98, 98, 104, 78, 175, 98, 67, 62, 62, 62, 128, 62, 98, 288, 70, 98, 62, 150, 62, 98, 175, 68, 62, 78, 98, 71, 62, 100, 62, 62, 211, 62, 62, 62, 134, 105, 62, 64, 62, 108, 62, 62, 103, 174, 51, 134, 62, 62, 62, 62, 179, 62, 98, 62, 98, 62, 215, 72, 301, 77, 62, 258]",127921,"[0.0, -5.0, -5.0, 1.0, -3.0, -5.0, -3.0, 5.0, -3.0, -4.0, -4.0, -5.0, -5.0, 2.0, -2.0, -4.0, -5.0, -2.0, -3.0, -3.0, -5.0, -5.0, -4.0, -5.0, -4.0]",-76.0,-3.04,3726,1556,-5.0,-5.0,-4.0,-3.0,5.0
17,1700,"[68, 90, 62, 211, 109, 64, 134, 62, 54, 98, 98, 102, 62, 98, 212, 62, 62, 98, 62, 70, 134, 59, 98, 144, 75, 77, 62, 62, 98, 76, 65, 66, 65, 62, 62, 62, 175, 77, 106, 131, 62, 134, 99, 175, 56, 107, 62, 98, 62, 73, 45, 98, 140, 73, 90, 102, 62, 73, 134, 175, 72, 62, 62, 175, 136, 62, 62, 62, 98, 62, 288, 98, 110, 67, 98, 134, 98, 62, 66, 62, 98, 62, 98, 62, 62, 114, 43, 98, 62, 260, 70, 62, 62, 62, 62, 62, 75, 98, 43, 70]",137036,"[-3.0, -3.0, -5.0, 1.0, -4.0, -2.0, -5.0, -4.0, -5.0, 3.0, -3.0, -5.0, -4.0, -4.0, -2.0, -5.0, -5.0, -4.0, -2.0, -3.0, -5.0, -2.0, -4.0, -2.0, -4.0]",-81.0,-3.24,3863,1433,-5.0,-5.0,-4.0,-2.0,3.0
18,1800,"[71, 65, 62, 62, 62, 68, 62, 62, 60, 134, 62, 67, 62, 62, 98, 62, 62, 98, 62, 97, 43, 66, 77, 127, 187, 62, 64, 134, 70, 49, 69, 98, 63, 100, 288, 134, 62, 62, 64, 113, 64, 62, 66, 63, 98, 134, 131, 109, 175, 65, 62, 71, 64, 143, 149, 72, 98, 61, 188, 175, 134, 71, 62, 134, 62, 98, 62, 98, 98, 226, 58, 65, 77, 98, 98, 148, 62, 62, 62, 98, 161, 98, 134, 67, 226, 177, 98, 62, 211, 62, 247, 62, 211, 62, 62, 63, 98, 98, 98, 62]",146690,"[-3.0, 0.0, 2.0, -3.0, 2.0, -4.0, -5.0, -3.0, -4.0, 3.0, -1.0, 1.0, -3.0, -4.0, -3.0, -4.0, -3.0, -3.0, -1.0, 3.0, -4.0, -3.0, -2.0, -4.0, -4.0]",-50.0,-2.0,4015,1558,-5.0,-4.0,-3.0,-1.0,3.0
19,1900,"[98, 67, 62, 98, 62, 98, 53, 62, 175, 148, 62, 112, 190, 78, 104, 98, 98, 62, 62, 98, 62, 247, 62, 62, 62, 62, 98, 98, 62, 62, 98, 62, 73, 127, 62, 63, 98, 213, 62, 78, 65, 134, 59, 103, 247, 134, 62, 62, 62, 62, 100, 134, 62, 62, 73, 98, 62, 62, 114, 62, 98, 98, 45, 73, 98, 98, 62, 98, 146, 62, 62, 175, 62, 62, 62, 98, 175, 74, 63, 62, 189, 72, 62, 288, 72, 62, 211, 134, 98, 98, 98, 98, 94, 110, 62, 65, 191, 62, 62, 98]",156208,"[4.0, 7.0, 0.0, -2.0, -2.0, 2.0, -1.0, -1.0, -4.0, -5.0, 3.0, 0.0, -2.0, 3.0, 0.0, -2.0, 0.0, 8.0, -1.0, 5.0, 1.0, -3.0, 0.0, -3.0, -3.0]",4.0,0.16,4133,1496,-5.0,-2.0,0.0,2.0,8.0
