,trainingsizes,frames,masterframes,results,result_sums,mean,qvalues,times,mini,result_q1,result_q2,result_q3,maxi
10,1000,"[98, 175, 98, 62, 62, 107, 62, 62, 62, 184, 100, 134, 54, 62, 62, 126, 62, 62, 66, 62, 102, 62, 248, 52, 142, 65, 62, 51, 62, 53, 68, 62, 134, 62, 112, 106, 62, 76, 184, 175, 62, 62, 62, 324, 179, 211, 98, 98, 134, 211, 66, 62, 62, 67, 62, 175, 67, 66, 62, 62, 62, 65, 73, 62, 149, 50, 139, 62, 175, 98, 53, 146, 288, 62, 324, 62, 134, 62, 98, 134, 62, 92, 62, 78, 98, 63, 62, 62, 100, 98, 69, 62, 70, 106, 175, 134, 134, 98, 62, 175]",82621,"[-3.0, 4.0, -5.0, -2.0, -4.0, -5.0, -5.0, -5.0, 3.0, -5.0, -5.0, 1.0, -5.0, -3.0, -4.0, -5.0, -4.0, -5.0, -3.0, -4.0, -5.0, -5.0, 4.0, -5.0, 1.0]",-74.0,-2.96,2643,1463,-5.0,-5.0,-4.0,-3.0,4.0
11,1100,"[98, 172, 131, 175, 191, 62, 175, 62, 150, 70, 62, 134, 183, 62, 139, 98, 61, 62, 134, 62, 62, 78, 134, 62, 62, 98, 134, 62, 62, 62, 134, 105, 98, 98, 62, 62, 98, 98, 247, 134, 175, 175, 62, 62, 62, 69, 62, 62, 211, 68, 62, 134, 65, 62, 175, 98, 62, 134, 134, 185, 98, 175, 62, 181, 62, 62, 62, 175, 134, 62, 62, 45, 62, 62, 62, 62, 69, 62, 66, 70, 98, 62, 134, 62, 62, 63, 134, 62, 324, 62, 134, 401, 98, 62, 134, 62, 62, 101, 62, 627]",93476,"[-4.0, -5.0, -4.0, -5.0, -4.0, -2.0, 4.0, 0.0, -4.0, -5.0, -4.0, -1.0, -5.0, -5.0, -4.0, -4.0, -5.0, -5.0, -3.0, -5.0, -3.0, -5.0, -2.0, -4.0, -4.0]",-88.0,-3.52,2841,1594,-5.0,-5.0,-4.0,-3.0,4.0
12,1200,"[98, 98, 105, 62, 175, 94, 175, 62, 66, 62, 62, 62, 62, 62, 247, 62, 71, 175, 62, 62, 62, 288, 98, 62, 62, 134, 62, 98, 98, 98, 62, 98, 62, 98, 62, 70, 98, 62, 70, 99, 62, 175, 62, 65, 62, 62, 62, 62, 62, 98, 62, 62, 134, 62, 62, 98, 134, 62, 70, 62, 98, 98, 134, 62, 62, 98, 62, 98, 62, 62, 62, 98, 62, 134, 62, 98, 211, 72, 98, 175, 62, 98, 62, 179, 74, 62, 65, 98, 63, 62, 135, 62, 62, 98, 62, 62, 134, 211, 134, 77]",102593,"[-2.0, -5.0, -5.0, -3.0, -3.0, 8.0, -4.0, -5.0, -5.0, -2.0, -3.0, -2.0, -5.0, -5.0, -5.0, -3.0, -5.0, -5.0, -5.0, -4.0, -1.0, -4.0, -3.0, -5.0, -3.0]",-84.0,-3.36,2976,1339,-5.0,-5.0,-4.0,-3.0,8.0
13,1300,"[62, 74, 62, 62, 62, 62, 175, 62, 98, 175, 62, 62, 62, 72, 57, 98, 62, 62, 62, 98, 62, 68, 62, 67, 62, 134, 134, 62, 134, 98, 98, 98, 62, 108, 62, 211, 176, 62, 175, 276, 62, 146, 211, 373, 98, 134, 110, 98, 98, 62, 211, 62, 288, 62, 66, 134, 175, 98, 98, 62, 134, 62, 211, 663, 62, 146, 60, 106, 70, 44, 213, 98, 98, 62, 98, 62, 62, 62, 62, 98, 62, 62, 134, 98, 134, 98, 62, 98, 134, 175, 135, 64, 247, 62, 74, 62, 71, 62, 99, 98]",113547,"[-5.0, -5.0, -5.0, -5.0, -5.0, -3.0, -5.0, 8.0, -5.0, -2.0, -5.0, -2.0, -5.0, -5.0, 2.0, -5.0, 1.0, 0.0, 3.0, -1.0, -1.0, -3.0, -5.0, -1.0, -5.0]",-64.0,-2.56,3086,1612,-5.0,-5.0,-5.0,-1.0,8.0
14,1400,"[98, 139, 168, 75, 62, 146, 103, 62, 64, 77, 62, 114, 63, 62, 62, 62, 183, 62, 134, 73, 175, 222, 69, 98, 212, 62, 326, 137, 175, 134, 98, 62, 175, 62, 303, 76, 78, 175, 62, 62, 98, 62, 148, 62, 141, 68, 330, 98, 62, 211, 175, 98, 134, 105, 64, 98, 98, 62, 65, 145, 211, 98, 62, 62, 98, 296, 76, 98, 134, 62, 187, 62, 190, 186, 175, 71, 62, 62, 62, 62, 62, 62, 114, 167, 62, 62, 185, 627, 62, 143, 65, 98, 62, 98, 175, 114, 224, 247, 247, 247]",125944,"[0.0, 3.0, -4.0, -4.0, -3.0, -5.0, -5.0, -3.0, -3.0, -3.0, -5.0, -1.0, -5.0, -1.0, -4.0, -5.0, -2.0, -2.0, -3.0, -3.0, -3.0, -3.0, -2.0, -5.0, -5.0]",-76.0,-3.04,3248,1819,-5.0,-5.0,-3.0,-2.0,3.0
15,1500,"[62, 98, 211, 109, 98, 62, 98, 273, 62, 62, 62, 175, 70, 54, 98, 62, 327, 175, 134, 71, 62, 105, 62, 175, 101, 98, 62, 76, 62, 62, 190, 62, 108, 105, 62, 76, 175, 62, 109, 62, 98, 288, 62, 98, 70, 62, 101, 62, 74, 62, 288, 98, 62, 62, 62, 59, 62, 62, 62, 134, 62, 72, 62, 62, 98, 98, 62, 62, 62, 98, 62, 98, 62, 62, 62, 62, 62, 62, 175, 134, 62, 62, 62, 135, 62, 62, 144, 62, 110, 112, 62, 98, 62, 98, 93, 108, 62, 62, 98, 98]",135404,"[-4.0, -4.0, -3.0, -3.0, -3.0, -3.0, -5.0, -5.0, -5.0, -4.0, -5.0, 1.0, -3.0, -3.0, -5.0, -3.0, -5.0, -5.0, -5.0, -1.0, -5.0, -5.0, -5.0, -4.0, -3.0]",-95.0,-3.8,3395,1386,-5.0,-5.0,-4.0,-3.0,1.0
16,1600,"[64, 113, 401, 175, 175, 437, 98, 62, 62, 74, 66, 98, 98, 62, 98, 247, 181, 134, 62, 62, 143, 62, 134, 110, 62, 175, 62, 98, 98, 98, 62, 137, 62, 62, 62, 67, 175, 62, 112, 134, 134, 324, 98, 175, 137, 134, 183, 134, 134, 62, 437, 62, 134, 175, 72, 175, 134, 62, 62, 211, 62, 72, 175, 98, 98, 98, 62, 62, 62, 150, 175, 134, 62, 63, 98, 175, 62, 62, 98, 62, 184, 62, 98, 62, 98, 103, 247, 62, 62, 247, 98, 98, 98, 134, 62, 98, 220, 98, 62, 148]",147460,"[-3.0, 2.0, -5.0, -5.0, -1.0, -3.0, -2.0, -2.0, -3.0, 1.0, -3.0, -3.0, -1.0, 5.0, -2.0, -3.0, -2.0, -4.0, -3.0, -5.0, -3.0, 1.0, -2.0, -4.0, -5.0]",-55.0,-2.2,3507,1771,-5.0,-3.0,-3.0,-2.0,5.0
17,1700,"[47, 62, 62, 63, 175, 191, 99, 134, 103, 98, 62, 211, 175, 288, 78, 98, 98, 247, 134, 62, 182, 134, 134, 175, 98, 288, 175, 134, 175, 62, 134, 134, 102, 247, 98, 103, 98, 134, 71, 62, 134, 62, 211, 62, 62, 177, 84, 211, 62, 62, 98, 65, 140, 112, 149, 75, 76, 175, 78, 63, 62, 62, 208, 98, 134, 62, 211, 62, 98, 63, 69, 62, 134, 62, 62, 62, 134, 141, 134, 98, 134, 95, 61, 181, 98, 134, 98, 84, 134, 62, 211, 62, 134, 62, 98, 211, 138, 64, 245, 100]",159269,"[-5.0, 4.0, -1.0, -1.0, -3.0, -5.0, -2.0, -5.0, 6.0, -2.0, -5.0, 0.0, -5.0, -5.0, -5.0, -2.0, -5.0, -2.0, 1.0, -2.0, -5.0, 1.0, -5.0, -5.0, -4.0]",-62.0,-2.48,3601,1792,-5.0,-5.0,-3.0,-1.0,6.0
18,1800,"[98, 175, 98, 98, 62, 209, 211, 247, 62, 134, 62, 288, 62, 191, 54, 158, 175, 254, 180, 78, 105, 134, 98, 182, 62, 175, 63, 324, 98, 62, 175, 100, 62, 175, 134, 64, 62, 62, 175, 62, 98, 65, 56, 98, 63, 360, 98, 160, 288, 62, 64, 73, 64, 320, 328, 137, 62, 175, 62, 62, 64, 134, 98, 62, 134, 134, 134, 211, 62, 63, 62, 62, 62, 62, 177, 98, 98, 247, 70, 98, 98, 62, 62, 137, 98, 175, 62, 62, 62, 105, 62, 62, 134, 68, 62, 437, 62, 98, 143, 98]",171515,"[-4.0, -2.0, -4.0, -4.0, -3.0, -4.0, -5.0, -4.0, -4.0, -4.0, 16.0, -1.0, 0.0, -1.0, 1.0, 2.0, 6.0, 0.0, -3.0, -4.0, -4.0, -4.0, 2.0, 3.0, -2.0]",-27.0,-1.08,3681,1807,-5.0,-4.0,-3.0,0.0,16.0
19,1900,"[98, 133, 62, 98, 62, 62, 211, 64, 114, 65, 63, 63, 62, 288, 134, 288, 62, 98, 98, 186, 66, 62, 102, 62, 62, 99, 288, 175, 329, 365, 98, 98, 143, 62, 98, 62, 150, 62, 62, 104, 62, 223, 401, 63, 64, 98, 98, 137, 64, 76, 99, 324, 134, 62, 175, 98, 62, 98, 98, 179, 175, 134, 401, 334, 62, 62, 278, 62, 62, 134, 134, 175, 98, 64, 294, 247, 62, 315, 62, 134, 224, 62, 134, 139, 134, 101, 134, 211, 134, 134, 175, 211, 98, 211, 62, 62, 62, 336, 98, 62]",185063,"[1.0, -2.0, -3.0, 2.0, 0.0, -2.0, 0.0, 11.0, -3.0, -2.0, -4.0, -3.0, -4.0, -4.0, 0.0, -4.0, 10.0, -2.0, -4.0, -3.0, -4.0, 1.0, -3.0, 6.0, 3.0]",-13.0,-0.52,3756,2023,-4.0,-3.0,-2.0,1.0,11.0
