,trainingsizes,frames,masterframes,results,result_sums,mean,qvalues,times,mini,result_q1,result_q2,result_q3,maxi
26,2600,"[62, 106, 62, 62, 134, 175, 175, 62, 190, 134, 62, 288, 189, 98, 62, 57, 76, 134, 260, 65, 98, 98, 211, 63, 92, 62, 211, 447, 134, 211, 175, 98, 98, 175, 178, 62, 70, 98, 62, 98, 62, 291, 224, 62, 169, 107, 473, 98, 332, 98, 62, 189, 62, 324, 63, 175, 98, 324, 62, 105, 699, 134, 65, 62, 134, 98, 175, 134, 98, 75, 129, 247, 175, 134, 62, 130, 288, 360, 62, 134, 324, 360, 98, 98, 62, 223, 62, 223, 98, 134, 62, 473, 211, 98, 78, 62, 98, 257, 291, 98]",302307,"[-4.0, -1.0, -4.0, 0.0, 7.0, -1.0, 1.0, -5.0, -1.0, -4.0, -4.0, -3.0, -3.0, -1.0, -5.0, 3.0, -3.0, 15.0, 3.0, -5.0, -5.0, -3.0, -4.0, -5.0, -3.0]",-35.0,-1.4,4323,2254,-5.0,-4.0,-3.0,-1.0,15.0
27,2700,"[98, 98, 145, 62, 175, 78, 62, 247, 73, 98, 63, 134, 105, 216, 481, 92, 217, 175, 134, 175, 260, 134, 288, 62, 62, 134, 62, 137, 150, 64, 98, 62, 62, 62, 175, 62, 62, 73, 211, 175, 72, 76, 247, 134, 288, 134, 73, 70, 211, 179, 134, 98, 175, 62, 247, 98, 62, 62, 62, 55, 62, 288, 62, 98, 62, 62, 211, 175, 175, 98, 288, 98, 77, 256, 62, 98, 141, 213, 134, 247, 62, 62, 293, 98, 62, 134, 62, 288, 62, 175, 62, 247, 175, 75, 98, 211, 62, 68, 62, 69]",315503,"[21.0, 1.0, 7.0, -3.0, 15.0, 0.0, -1.0, 11.0, -4.0, -3.0, 5.0, -3.0, 1.0, 7.0, 5.0, -2.0, -4.0, -1.0, -4.0, -1.0, 10.0, -2.0, 8.0, -2.0, -2.0]",59.0,2.36,4358,1908,-4.0,-2.0,-1.0,7.0,21.0
28,2800,"[112, 211, 75, 416, 98, 98, 77, 62, 62, 224, 134, 134, 98, 62, 134, 62, 98, 62, 324, 98, 134, 98, 134, 74, 110, 98, 70, 437, 175, 98, 213, 62, 67, 71, 175, 62, 150, 98, 191, 134, 211, 98, 62, 62, 190, 53, 62, 62, 98, 134, 740, 288, 76, 211, 247, 98, 98, 98, 324, 98, 98, 360, 176, 55, 175, 134, 134, 437, 247, 360, 64, 134, 62, 98, 113, 98, 134, 62, 62, 175, 63, 360, 247, 134, 62, 175, 247, 60, 175, 134, 105, 98, 514, 98, 97, 185, 247, 71, 62, 98]",330515,"[4.0, 8.0, 4.0, 3.0, -1.0, 7.0, 6.0, 6.0, 8.0, -4.0, 2.0, 3.0, -4.0, -2.0, 14.0, 8.0, 2.0, -2.0, 3.0, 3.0, 5.0, -2.0, 2.0, -4.0, 1.0]",70.0,2.8,4402,2195,-4.0,-1.0,3.0,6.0,14.0
29,2900,"[98, 62, 98, 134, 62, 134, 72, 63, 134, 98, 360, 146, 211, 74, 226, 134, 134, 62, 134, 64, 70, 175, 98, 324, 98, 149, 98, 224, 62, 76, 62, 134, 211, 360, 62, 98, 175, 62, 360, 473, 72, 98, 110, 63, 98, 134, 211, 98, 98, 62, 150, 134, 62, 136, 175, 134, 324, 211, 304, 134, 98, 62, 98, 211, 73, 64, 226, 247, 221, 211, 226, 98, 134, 113, 189, 62, 360, 134, 62, 62, 225, 211, 73, 134, 175, 134, 134, 98, 414, 175, 113, 98, 98, 98, 67, 134, 437, 62, 812, 324]",346161,"[-3.0, 2.0, 0.0, 0.0, -4.0, 0.0, 2.0, -2.0, -2.0, -1.0, -4.0, 7.0, -4.0, -2.0, 7.0, 11.0, 16.0, -3.0, 3.0, 2.0, -4.0, -3.0, -1.0, 2.0, 7.0]",26.0,1.04,4453,2275,-4.0,-3.0,0.0,2.0,16.0
30,3000,"[175, 98, 292, 98, 98, 62, 175, 113, 137, 150, 366, 247, 175, 62, 253, 98, 98, 211, 62, 62, 446, 211, 211, 62, 62, 134, 62, 288, 247, 78, 324, 67, 211, 62, 134, 98, 62, 62, 255, 247, 134, 135, 248, 479, 72, 134, 175, 175, 98, 177, 73, 98, 175, 211, 176, 62, 261, 184, 324, 302, 134, 178, 134, 324, 175, 185, 98, 331, 247, 62, 290, 62, 63, 72, 63, 175, 62, 175, 78, 134, 69, 147, 62, 74, 109, 175, 215, 175, 134, 262, 184, 98, 102, 473, 175, 98, 98, 103, 98, 134]",362236,"[0.0, -4.0, -4.0, -2.0, -4.0, -4.0, 0.0, -2.0, -4.0, 1.0, -4.0, -4.0, -4.0, 7.0, 4.0, -3.0, -2.0, -4.0, 5.0, -4.0, -2.0, -4.0, -4.0, 4.0, -4.0]",-42.0,-1.68,4471,2386,-4.0,-4.0,-4.0,0.0,7.0
31,3100,"[179, 134, 134, 134, 175, 98, 66, 98, 324, 74, 324, 134, 181, 134, 112, 98, 248, 69, 211, 62, 97, 112, 64, 211, 183, 98, 169, 175, 514, 437, 98, 67, 324, 98, 62, 134, 62, 109, 331, 340, 401, 99, 62, 134, 331, 370, 221, 98, 73, 175, 98, 222, 211, 211, 98, 134, 295, 247, 663, 211, 134, 300, 247, 134, 247, 141, 148, 439, 247, 134, 401, 98, 261, 190, 112, 134, 324, 114, 98, 134, 247, 134, 211, 211, 145, 135, 98, 776, 98, 175, 98, 98, 98, 288, 288, 98, 62, 175, 109, 102]",380947,"[8.0, 12.0, -2.0, 28.0, 2.0, 6.0, -1.0, -1.0, -2.0, 1.0, 8.0, 2.0, 11.0, 4.0, -1.0, 7.0, 1.0, 5.0, -1.0, 5.0, -2.0, -3.0, -4.0, -1.0, 16.0]",98.0,3.92,4503,2749,-4.0,-1.0,2.0,7.0,28.0
32,3200,"[62, 63, 316, 72, 550, 175, 75, 67, 175, 550, 175, 288, 437, 98, 72, 134, 175, 71, 98, 113, 175, 98, 98, 74, 211, 175, 211, 69, 211, 62, 146, 98, 107, 98, 189, 140, 98, 138, 221, 324, 473, 109, 135, 67, 69, 62, 62, 98, 109, 746, 71, 186, 247, 134, 291, 98, 77, 179, 403, 401, 66, 175, 62, 62, 288, 69, 98, 211, 211, 324, 294, 134, 514, 288, 98, 211, 65, 62, 255, 62, 98, 98, 211, 331, 98, 324, 74, 71, 66, 68, 62, 288, 98, 74, 247, 134, 372, 335, 98, 288]",398657,"[-1.0, -2.0, 2.0, -3.0, 0.0, -1.0, 2.0, 6.0, -4.0, 28.0, 5.0, -4.0, 5.0, 1.0, -1.0, -2.0, 7.0, -4.0, -1.0, -4.0, 1.0, 1.0, 0.0, 5.0, -1.0]",35.0,1.4,4538,2591,-4.0,-2.0,0.0,2.0,28.0
33,3300,"[134, 211, 98, 98, 520, 98, 62, 62, 98, 178, 473, 98, 134, 227, 64, 63, 62, 473, 62, 98, 73, 62, 473, 437, 134, 298, 62, 102, 98, 70, 370, 62, 401, 323, 221, 98, 62, 324, 213, 134, 744, 98, 401, 247, 550, 134, 337, 211, 134, 175, 134, 262, 175, 62, 401, 147, 98, 175, 191, 262, 175, 111, 136, 211, 211, 98, 360, 334, 215, 186, 71, 324, 134, 98, 227, 627, 134, 98, 76, 62, 109, 134, 175, 72, 62, 288, 145, 175, 50, 175, 98, 211, 134, 62, 175, 62, 324, 175, 76, 98]",417613,"[13.0, -3.0, 26.0, 7.0, 0.0, -2.0, 0.0, 9.0, 0.0, 10.0, 11.0, -4.0, 11.0, -3.0, -3.0, -1.0, 9.0, 16.0, -3.0, 3.0, -2.0, 9.0, -1.0, -3.0, 8.0]",107.0,4.28,4583,2760,-4.0,-2.0,0.0,9.0,26.0
34,3400,"[134, 99, 324, 134, 288, 98, 250, 175, 528, 324, 134, 65, 324, 211, 247, 473, 211, 62, 92, 586, 213, 134, 134, 64, 183, 98, 63, 62, 73, 134, 65, 177, 371, 288, 134, 699, 62, 247, 211, 134, 291, 134, 288, 62, 215, 175, 288, 62, 252, 100, 149, 247, 416, 473, 147, 473, 98, 408, 211, 149, 134, 247, 360, 69, 437, 114, 740, 98, 98, 175, 98, 401, 62, 98, 62, 211, 98, 62, 222, 134, 324, 98, 98, 134, 175, 134, 324, 134, 148, 98, 142, 413, 134, 62, 247, 107, 175, 401, 134, 586]",438544,"[0.0, -4.0, -1.0, 6.0, 3.0, -4.0, 13.0, 1.0, 9.0, 41.0, 12.0, 24.0, 1.0, 5.0, 8.0, 3.0, 17.0, 3.0, 21.0, 10.0, 4.0, -4.0, 9.0, -3.0, -2.0]",172.0,6.88,4607,3089,-4.0,0.0,4.0,10.0,41.0
35,3500,"[288, 225, 110, 473, 247, 247, 227, 106, 699, 179, 74, 62, 211, 68, 62, 139, 247, 183, 62, 211, 211, 216, 98, 134, 211, 190, 180, 64, 75, 66, 211, 78, 178, 178, 175, 514, 213, 401, 288, 110, 98, 134, 63, 598, 288, 134, 550, 711, 183, 401, 740, 226, 175, 219, 134, 134, 142, 219, 74, 62, 62, 98, 175, 514, 186, 553, 360, 78, 514, 98, 288, 360, 175, 134, 134, 134, 550, 360, 515, 70, 288, 98, 134, 98, 175, 98, 360, 62, 527, 223, 134, 211, 134, 98, 288, 98, 134, 62, 142, 70]",460532,"[-2.0, 6.0, 5.0, 1.0, 8.0, -3.0, -4.0, 13.0, -2.0, -4.0, -3.0, 3.0, -1.0, -4.0, 0.0, -1.0, 8.0, -3.0, 9.0, -3.0, -1.0, -1.0, 3.0, 5.0, -3.0]",26.0,1.04,4632,3235,-4.0,-3.0,-1.0,5.0,13.0
36,3600,"[142, 69, 134, 175, 62, 288, 62, 70, 176, 175, 98, 134, 62, 360, 98, 175, 211, 98, 324, 65, 62, 288, 101, 98, 211, 288, 134, 72, 134, 62, 66, 67, 247, 360, 437, 137, 71, 62, 211, 148, 226, 134, 401, 256, 98, 331, 98, 77, 175, 175, 175, 672, 324, 134, 211, 889, 175, 637, 643, 134, 134, 324, 62, 247, 98, 473, 925, 134, 98, 437, 63, 75, 62, 179, 98, 98, 324, 211, 134, 288, 401, 134, 853, 134, 527, 211, 98, 211, 98, 98, 185, 324, 401, 134, 110, 187, 134, 288, 211, 247]",482181,"[3.0, 11.0, 36.0, -3.0, -4.0, 5.0, 22.0, -4.0, 6.0, -4.0, -3.0, -3.0, -3.0, 8.0, 5.0, 8.0, 0.0, -3.0, -3.0, -2.0, 4.0, 1.0, 16.0, 0.0, -3.0]",90.0,3.6,4651,3373,-4.0,-3.0,0.0,6.0,36.0
37,3700,"[134, 97, 98, 134, 175, 98, 134, 62, 304, 324, 368, 175, 98, 97, 184, 62, 134, 288, 104, 291, 134, 330, 289, 98, 175, 98, 62, 360, 134, 254, 98, 76, 324, 98, 134, 134, 139, 211, 62, 213, 134, 288, 247, 247, 186, 134, 175, 211, 247, 134, 62, 175, 473, 287, 134, 288, 98, 211, 180, 247, 1377, 134, 98, 175, 211, 288, 62, 175, 404, 324, 98, 142, 740, 324, 288, 134, 473, 699, 175, 134, 62, 98, 218, 62, 776, 288, 1206, 437, 247, 296, 211, 144, 247, 148, 175, 288, 185, 98, 134, 134]",505032,"[10.0, 18.0, 5.0, 0.0, 28.0, 24.0, -3.0, 18.0, -2.0, 0.0, -4.0, 1.0, 10.0, 3.0, -3.0, -4.0, 5.0, 10.0, 0.0, 11.0, 1.0, -2.0, -4.0, -3.0, -1.0]",118.0,4.72,4677,3639,-4.0,-2.0,1.0,10.0,28.0
38,3800,"[222, 69, 70, 550, 134, 288, 109, 211, 109, 62, 98, 98, 211, 98, 211, 291, 62, 98, 62, 75, 74, 98, 211, 98, 77, 63, 134, 62, 211, 99, 249, 98, 175, 212, 438, 109, 64, 372, 247, 134, 517, 134, 324, 77, 111, 75, 175, 98, 437, 288, 108, 76, 98, 211, 473, 98, 98, 76, 146, 62, 363, 360, 145, 62, 401, 107, 98, 177, 288, 142, 178, 134, 360, 134, 76, 324, 137, 326, 62, 189, 324, 247, 247, 288, 98, 98, 247, 550, 134, 175, 473, 360, 134, 63, 437, 98, 222, 102, 175, 211]",523813,"[5.0, -1.0, -3.0, 6.0, -4.0, 2.0, 6.0, -4.0, -4.0, -2.0, 5.0, -2.0, -3.0, -3.0, 7.0, 23.0, -4.0, 4.0, -3.0, -3.0, 0.0, 18.0, -4.0, -4.0, 45.0]",77.0,3.08,4708,2891,-4.0,-3.0,-2.0,5.0,45.0
39,3900,"[98, 586, 98, 699, 401, 437, 288, 134, 98, 98, 437, 288, 247, 247, 144, 98, 211, 134, 68, 98, 62, 360, 211, 135, 98, 853, 134, 740, 98, 158, 586, 211, 211, 338, 221, 98, 98, 288, 98, 191, 324, 134, 98, 98, 102, 134, 134, 387, 134, 98, 134, 148, 550, 112, 211, 134, 670, 211, 98, 141, 403, 138, 62, 99, 288, 63, 211, 211, 134, 98, 370, 65, 250, 62, 134, 324, 437, 134, 175, 98, 288, 134, 72, 211, 134, 211, 699, 369, 98, 175, 437, 324, 301, 62, 98, 223, 62, 98, 288, 98]",546101,"[-1.0, 8.0, -2.0, -2.0, 27.0, 3.0, -1.0, 4.0, -3.0, 2.0, 2.0, 16.0, 19.0, -1.0, 3.0, 0.0, 2.0, -1.0, 2.0, 10.0, 0.0, -4.0, -3.0, 5.0, 15.0]",100.0,4.0,4729,3489,-4.0,-1.0,2.0,5.0,27.0
40,4000,"[98, 175, 140, 134, 98, 134, 288, 134, 401, 211, 98, 224, 288, 699, 324, 247, 142, 247, 437, 361, 360, 288, 98, 62, 599, 437, 98, 966, 98, 102, 64, 596, 62, 247, 220, 104, 111, 437, 134, 360, 473, 437, 288, 98, 67, 62, 437, 175, 134, 175, 98, 401, 98, 98, 437, 360, 360, 63, 98, 98, 98, 175, 256, 134, 401, 98, 288, 211, 98, 134, 98, 134, 134, 247, 473, 147, 663, 300, 70, 339, 134, 134, 339, 288, 437, 144, 247, 211, 62, 213, 183, 98, 184, 226, 360, 324, 139, 73, 98, 523]",569796,"[0.0, -1.0, -3.0, 9.0, 6.0, 1.0, -4.0, -1.0, 1.0, 0.0, -1.0, -4.0, -2.0, -4.0, -4.0, 20.0, 9.0, 13.0, -1.0, -4.0, -3.0, -1.0, 16.0, 5.0, -1.0]",46.0,1.84,4743,3854,-4.0,-3.0,-1.0,5.0,20.0
