,trainingsizes,frames,masterframes,results,result_sums,mean,qvalues,times,mini,result_q1,result_q2,result_q3,maxi
34,3400,"[114, 98, 98, 324, 111, 98, 55, 324, 473, 211, 247, 98, 853, 550, 473, 62, 134, 247, 98, 62, 211, 98, 62, 70, 247, 134, 247, 128, 65, 247, 75, 142, 211, 134, 62, 134, 62, 372, 106, 68, 134, 211, 445, 64, 288, 73, 437, 1079, 62, 404, 176, 247, 328, 360, 296, 259, 134, 483, 300, 175, 175, 105, 98, 437, 288, 98, 663, 247, 134, 98, 401, 247, 586, 247, 214, 247, 473, 175, 62, 98, 112, 98, 180, 98, 184, 114, 176, 98, 175, 62, 140, 586, 62, 175, 473, 144, 175, 211, 247, 244]",471164,"[-4.0, 0.0, -1.0, 6.0, 36.0, -4.0, 2.0, -1.0, 6.0, 6.0, 5.0, 5.0, 6.0, 20.0, 7.0, -4.0, 7.0, 0.0, -1.0, 11.0, 3.0, 8.0, 1.0, -1.0, 2.0]",115.0,4.6,4726,2354,-4.0,-1.0,3.0,6.0,36.0
35,3500,"[214, 178, 287, 103, 183, 135, 211, 211, 360, 226, 62, 211, 324, 473, 184, 93, 190, 663, 138, 247, 98, 72, 175, 401, 77, 363, 288, 62, 399, 247, 98, 98, 67, 211, 360, 98, 98, 321, 74, 76, 134, 146, 211, 62, 211, 187, 218, 552, 211, 62, 134, 602, 99, 62, 247, 324, 134, 62, 112, 98, 134, 134, 76, 134, 98, 98, 146, 175, 134, 164, 111, 211, 63, 134, 145, 247, 62, 324, 211, 550, 134, 211, 699, 114, 98, 360, 108, 258, 62, 288, 211, 221, 247, 62, 437, 98, 360, 288, 176, 186]",491377,"[1.0, 3.0, 2.0, 1.0, -4.0, -4.0, -4.0, 11.0, 18.0, 28.0, 0.0, 1.0, 12.0, 0.0, -2.0, 7.0, 4.0, -1.0, 8.0, 1.0, 24.0, 0.0, -3.0, 18.0, -4.0]",117.0,4.68,4747,2100,-4.0,-1.0,1.0,8.0,28.0
36,3600,"[288, 288, 75, 134, 437, 288, 134, 401, 175, 258, 134, 175, 104, 98, 76, 326, 247, 288, 139, 440, 65, 102, 98, 149, 288, 134, 408, 288, 98, 62, 62, 98, 63, 69, 141, 175, 134, 324, 247, 65, 67, 69, 62, 74, 211, 62, 142, 134, 663, 67, 142, 137, 183, 68, 175, 142, 98, 211, 447, 98, 181, 60, 98, 134, 324, 62, 213, 137, 175, 102, 211, 110, 134, 112, 586, 70, 65, 134, 175, 219, 211, 98, 175, 134, 473, 401, 134, 550, 136, 247, 99, 324, 70, 299, 109, 247, 1490, 338, 134, 62]",511237,"[3.0, 1.0, 11.0, -2.0, 49.0, 5.0, 26.0, 31.0, -2.0, -2.0, 4.0, 9.0, 3.0, -1.0, -3.0, -4.0, 9.0, 8.0, -1.0, 17.0, 13.0, 5.0, 0.0, 127.0, 17.0]",323.0,12.92,4775,2074,-4.0,-1.0,5.0,13.0,127.0
37,3700,"[514, 360, 134, 401, 76, 111, 62, 324, 175, 70, 62, 249, 98, 699, 288, 175, 98, 437, 98, 175, 64, 62, 259, 247, 132, 401, 259, 215, 601, 134, 136, 64, 514, 134, 701, 288, 360, 437, 175, 247, 137, 175, 211, 360, 253, 66, 75, 62, 175, 586, 473, 699, 489, 134, 288, 185, 62, 149, 288, 62, 338, 401, 98, 360, 74, 134, 134, 98, 175, 222, 247, 134, 247, 259, 68, 98, 143, 134, 247, 134, 288, 109, 69, 218, 62, 98, 360, 68, 325, 324, 134, 257, 98, 62, 211, 98, 638, 247, 98, 134]",533845,"[11.0, 5.0, -1.0, 9.0, 2.0, 3.0, -3.0, 12.0, -4.0, -2.0, -4.0, 2.0, 0.0, -3.0, -2.0, -4.0, 16.0, -1.0, 10.0, 3.0, -4.0, 15.0, 28.0, 3.0, 3.0]",94.0,3.76,4800,2350,-4.0,-2.0,2.0,9.0,28.0
38,3800,"[324, 712, 134, 339, 437, 134, 134, 72, 134, 62, 437, 98, 211, 75, 224, 143, 144, 292, 72, 111, 98, 211, 219, 134, 288, 247, 98, 175, 146, 751, 134, 225, 105, 223, 288, 138, 74, 98, 62, 324, 324, 301, 824, 408, 211, 98, 134, 247, 73, 98, 303, 211, 98, 437, 257, 71, 73, 71, 288, 175, 324, 175, 188, 98, 247, 98, 98, 98, 211, 211, 360, 77, 98, 134, 110, 175, 301, 247, 98, 437, 218, 178, 140, 106, 98, 217, 401, 72, 132, 932, 62, 76, 247, 663, 324, 247, 62, 288, 62, 371]",555555,"[19.0, -3.0, 1.0, 6.0, 12.0, -1.0, -3.0, -4.0, -2.0, -4.0, -1.0, -4.0, -4.0, -1.0, 5.0, 2.0, 8.0, 6.0, -4.0, -3.0, 10.0, 1.0, -2.0, 20.0, -2.0]",52.0,2.08,4828,2257,-4.0,-3.0,-1.0,6.0,20.0
39,3900,"[181, 138, 62, 113, 247, 98, 300, 62, 107, 324, 514, 98, 401, 247, 175, 288, 288, 68, 98, 330, 212, 211, 211, 137, 558, 183, 98, 1192, 177, 62, 247, 247, 298, 324, 109, 225, 98, 329, 301, 324, 191, 140, 98, 175, 288, 62, 1264, 175, 247, 1079, 175, 134, 247, 324, 98, 288, 134, 324, 98, 98, 175, 408, 134, 211, 489, 375, 523, 71, 325, 253, 62, 134, 98, 98, 62, 98, 175, 144, 591, 335, 599, 78, 175, 62, 211, 218, 134, 288, 134, 134, 98, 134, 288, 401, 514, 62, 62, 437, 134, 175]",579975,"[3.0, 0.0, 4.0, 2.0, 12.0, 4.0, 3.0, 4.0, 67.0, 9.0, -2.0, 11.0, 56.0, 33.0, 19.0, 2.0, 1.0, 5.0, 24.0, -1.0, 0.0, 15.0, 3.0, 51.0, 1.0]",326.0,13.04,4852,2556,-2.0,2.0,4.0,15.0,67.0
40,4000,"[479, 183, 476, 288, 134, 134, 134, 514, 212, 288, 247, 76, 288, 300, 514, 134, 663, 447, 437, 740, 182, 134, 135, 98, 699, 98, 134, 100, 271, 251, 98, 98, 247, 256, 257, 211, 144, 175, 360, 189, 285, 288, 175, 175, 175, 98, 324, 783, 247, 211, 142, 98, 98, 134, 141, 76, 98, 134, 332, 503, 67, 134, 62, 107, 134, 175, 106, 590, 106, 211, 360, 401, 98, 211, 70, 360, 183, 211, 473, 302, 221, 258, 247, 550, 62, 134, 663, 437, 98, 211, 473, 98, 247, 592, 98, 211, 78, 437, 69, 211]",605073,"[1.0, 11.0, -2.0, 2.0, 3.0, -3.0, -2.0, 2.0, 11.0, -1.0, -4.0, 0.0, 5.0, 9.0, -2.0, 35.0, 2.0, -2.0, -4.0, 2.0, -4.0, -4.0, -4.0, -4.0, -4.0]",43.0,1.72,4873,2642,-4.0,-4.0,-1.0,2.0,35.0
41,4100,"[108, 98, 247, 219, 62, 98, 175, 256, 101, 98, 135, 104, 256, 72, 62, 184, 247, 175, 72, 68, 106, 219, 175, 72, 182, 175, 104, 211, 220, 68, 219, 211, 247, 853, 288, 62, 324, 408, 100, 211, 211, 248, 62, 324, 178, 98, 62, 62, 565, 925, 134, 336, 776, 98, 98, 211, 104, 175, 130, 699, 63, 406, 98, 553, 211, 134, 663, 134, 62, 247, 324, 98, 514, 247, 288, 227, 247, 176, 324, 324, 586, 98, 514, 740, 360, 514, 514, 175, 134, 62, 98, 324, 437, 324, 324, 401, 98, 134, 96, 175]",629309,"[-3.0, 35.0, -3.0, -3.0, 6.0, -4.0, -4.0, 3.0, 10.0, 1.0, 18.0, -2.0, -2.0, 4.0, 14.0, -2.0, 17.0, 19.0, 9.0, -4.0, 7.0, 0.0, 7.0, 19.0, -4.0]",138.0,5.52,4883,2544,-4.0,-3.0,3.0,10.0,35.0
42,4200,"[175, 324, 409, 98, 360, 338, 175, 134, 143, 247, 514, 98, 360, 190, 175, 175, 304, 134, 360, 599, 187, 134, 294, 109, 514, 107, 134, 102, 77, 175, 98, 364, 62, 62, 134, 298, 62, 401, 98, 110, 401, 211, 334, 98, 437, 740, 98, 98, 564, 175, 149, 112, 401, 211, 360, 247, 550, 211, 1244, 401, 134, 104, 211, 98, 966, 190, 219, 324, 443, 134, 98, 181, 105, 98, 324, 324, 211, 62, 62, 211, 365, 288, 250, 134, 62, 98, 62, 62, 360, 175, 263, 211, 211, 627, 98, 134, 62, 62, 889, 134]",654231,"[5.0, -2.0, 7.0, -4.0, 25.0, 4.0, 7.0, 57.0, 25.0, -2.0, 1.0, 37.0, 6.0, 70.0, 13.0, 22.0, 1.0, 10.0, -4.0, 7.0, 5.0, -2.0, 8.0, 7.0, 18.0]",321.0,12.84,4901,2652,-4.0,1.0,7.0,18.0,70.0
43,4300,"[98, 437, 2553, 361, 247, 1038, 134, 62, 360, 62, 638, 113, 437, 98, 288, 627, 62, 211, 360, 103, 98, 401, 627, 62, 113, 437, 288, 98, 740, 134, 288, 401, 98, 211, 62, 134, 550, 401, 62, 98, 777, 134, 211, 740, 473, 175, 101, 324, 360, 277, 111, 134, 135, 401, 175, 473, 401, 101, 98, 360, 586, 181, 88, 324, 437, 437, 134, 98, 98, 98, 175, 137, 175, 514, 106, 288, 62, 296, 360, 134, 324, 247, 211, 473, 453, 62, 324, 288, 247, 175, 473, 98, 62, 54, 247, 134, 247, 134, 288, 335]",683388,"[2.0, 0.0, 4.0, -1.0, -4.0, 5.0, -1.0, 9.0, 1.0, 0.0, 5.0, 16.0, 1.0, -2.0, -1.0, -4.0, 0.0, 2.0, 0.0, -5.0, 5.0, 3.0, 7.0, -3.0, -5.0]",34.0,1.36,4916,3090,-5.0,-1.0,0.0,4.0,16.0
