,trainingsizes,frames,masterframes,results,result_sums,mean,qvalues,times,mini,result_q1,result_q2,result_q3,maxi
0,0,"[61, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 58, 62, 62, 62, 62, 62, 62, 62, 62, 54, 60, 60, 62, 62, 59, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 55, 62, 62, 62, 62, 62, 56, 62, 62, 62, 56, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 63, 62, 67, 62, 62, 62, 62, 62, 62, 62, 58, 62, 62, 62, 59, 62, 62, 62, 62, 62, 62]",6151,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-124.0,-4.96,461,1659,-5.0,-5.0,-5.0,-5.0,-4.0
1,100,"[60, 62, 62, 62, 62, 62, 62, 67, 62, 62, 62, 66, 59, 62, 62, 62, 62, 62, 62, 62, 62, 63, 60, 62, 62, 62, 62, 62, 62, 62, 62, 58, 63, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 66, 62, 66, 62, 62, 62, 62, 71, 62, 62, 62, 62, 62, 62, 62, 62, 56, 56, 62, 58, 61, 62, 62, 66, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 67, 62, 56, 55, 62, 62, 60, 62, 64, 70, 62, 64, 55, 62, 62]",12348,"[-5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-123.0,-4.92,650,997,-5.0,-5.0,-5.0,-5.0,-4.0
2,200,"[62, 55, 62, 62, 56, 62, 62, 56, 62, 71, 62, 62, 62, 59, 62, 62, 62, 58, 62, 65, 61, 53, 62, 62, 62, 62, 62, 63, 62, 62, 62, 87, 62, 62, 90, 63, 61, 59, 62, 62, 62, 62, 62, 62, 62, 62, 63, 62, 62, 62, 67, 62, 62, 60, 62, 62, 64, 62, 65, 62, 62, 62, 78, 62, 62, 62, 62, 62, 77, 88, 62, 62, 70, 62, 62, 62, 62, 62, 62, 62, 62, 62, 70, 62, 62, 77, 62, 62, 62, 62, 62, 62, 62, 62, 67, 62, 87, 62, 62, 62]",18702,"[-5.0, -3.0, -4.0, -4.0, -5.0, -4.0, -4.0, -3.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-117.0,-4.68,868,905,-5.0,-5.0,-5.0,-5.0,-3.0
3,300,"[70, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 98, 62, 90, 62, 73, 62, 57, 62, 62, 62, 70, 62, 62, 77, 62, 62, 62, 62, 62, 98, 62, 62, 58, 62, 98, 62, 137, 62, 62, 62, 62, 62, 62, 62, 63, 98, 62, 62, 76, 62, 71, 62, 64, 98, 62, 62, 62, 62, 98, 62, 62, 62, 62, 62, 67, 70, 72, 98, 108, 98, 62, 62, 62, 70, 65, 62, 62, 71, 65, 62, 62, 62, 62, 62, 62, 62, 98, 62, 134, 62, 62, 62, 62, 62, 62, 108, 211]",25747,"[-5.0, -4.0, -5.0, -5.0, -5.0, 0.0, -3.0, -3.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -3.0]",-112.0,-4.48,1085,966,-5.0,-5.0,-5.0,-5.0,0.0
4,400,"[62, 62, 98, 62, 62, 69, 99, 62, 62, 62, 62, 62, 62, 58, 76, 62, 70, 62, 62, 62, 62, 75, 62, 62, 77, 62, 61, 67, 98, 62, 62, 62, 55, 62, 62, 175, 62, 98, 62, 103, 110, 62, 98, 62, 62, 74, 62, 62, 62, 64, 62, 98, 62, 68, 62, 98, 62, 102, 62, 112, 62, 62, 62, 71, 74, 62, 75, 62, 78, 62, 62, 62, 62, 134, 62, 62, 62, 98, 62, 62, 62, 62, 62, 62, 77, 62, 77, 62, 98, 105, 134, 112, 77, 62, 175, 134, 98, 62, 62, 98]",33223,"[-5.0, -5.0, -2.0, -5.0, -4.0, -5.0, -4.0, -5.0, -4.0, -5.0, -5.0, -5.0, -4.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.0, -3.0, -5.0, -5.0, -4.0, -4.0]",-113.0,-4.52,1274,1068,-5.0,-5.0,-5.0,-4.0,-2.0
5,500,"[88, 62, 134, 134, 62, 134, 62, 62, 62, 62, 98, 62, 105, 62, 62, 72, 98, 62, 62, 62, 148, 62, 62, 98, 62, 98, 75, 62, 67, 62, 98, 62, 148, 169, 74, 62, 56, 78, 62, 62, 63, 66, 62, 138, 58, 62, 62, 62, 98, 98, 62, 62, 62, 62, 62, 77, 62, 59, 56, 62, 62, 64, 98, 98, 134, 98, 73, 62, 64, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 52, 62, 64, 51, 62, 62, 66, 62, 55, 63, 62, 163, 62, 62, 62, 62, 101, 62, 62, 175]",40799,"[-3.0, 1.0, -5.0, -5.0, -1.0, -2.0, -5.0, -4.0, -5.0, -5.0, -2.0, -3.0, -1.0, -4.0, -3.0, -5.0, -4.0, -5.0, -3.0, -4.0, -5.0, -5.0, -2.0, -4.0, -4.0]",-88.0,-3.52,1510,1280,-5.0,-5.0,-4.0,-3.0,1.0
6,600,"[51, 134, 62, 64, 62, 59, 92, 134, 98, 98, 62, 62, 70, 62, 69, 66, 63, 62, 202, 62, 62, 62, 98, 62, 67, 62, 98, 48, 139, 62, 62, 62, 98, 55, 62, 62, 134, 62, 62, 50, 62, 74, 59, 62, 62, 62, 98, 62, 143, 62, 62, 98, 56, 62, 70, 55, 62, 57, 134, 62, 62, 62, 62, 62, 62, 62, 63, 71, 73, 164, 57, 62, 62, 95, 62, 150, 62, 62, 52, 63, 98, 73, 72, 134, 62, 62, 62, 62, 62, 62, 62, 127, 63, 98, 63, 136, 62, 62, 58, 127]",48443,"[-4.0, -5.0, -5.0, -5.0, -5.0, -4.0, -5.0, -4.0, -4.0, -5.0, -5.0, -4.0, -2.0, -5.0, -5.0, -3.0, -5.0, -5.0, -5.0, -4.0, -5.0, -2.0, -4.0, -4.0, -5.0]",-109.0,-4.36,1747,1093,-5.0,-5.0,-5.0,-4.0,-2.0
7,700,"[62, 62, 98, 62, 188, 62, 62, 62, 91, 62, 62, 51, 134, 62, 62, 98, 134, 62, 68, 62, 62, 67, 137, 98, 62, 175, 98, 62, 98, 62, 67, 62, 62, 62, 62, 92, 62, 62, 98, 62, 62, 62, 98, 62, 67, 62, 141, 62, 62, 134, 62, 69, 62, 98, 62, 62, 62, 134, 55, 134, 62, 62, 98, 62, 72, 71, 67, 72, 62, 62, 104, 62, 62, 62, 62, 185, 134, 62, 100, 175, 62, 63, 101, 98, 62, 98, 62, 98, 125, 98, 62, 98, 147, 65, 176, 113, 77, 65, 54, 98]",56793,"[-4.0, -3.0, -4.0, -4.0, -5.0, -4.0, 0.0, -4.0, -3.0, -4.0, -3.0, -5.0, -4.0, -4.0, -5.0, 1.0, -3.0, -4.0, -1.0, -3.0, -4.0, -3.0, -5.0, -4.0, 1.0]",-81.0,-3.24,1956,1211,-5.0,-4.0,-4.0,-3.0,1.0
8,800,"[62, 76, 134, 98, 62, 72, 62, 98, 104, 75, 62, 63, 62, 98, 162, 71, 62, 62, 76, 98, 62, 130, 143, 62, 98, 67, 134, 62, 98, 134, 134, 62, 98, 134, 247, 134, 135, 62, 62, 134, 62, 73, 62, 111, 134, 98, 100, 103, 98, 62, 109, 62, 63, 98, 62, 62, 62, 62, 62, 62, 71, 98, 62, 62, 67, 62, 134, 62, 62, 62, 99, 62, 134, 62, 134, 98, 62, 62, 98, 62, 62, 299, 62, 62, 98, 141, 98, 98, 98, 62, 62, 74, 62, 62, 98, 140, 211, 62, 62, 62]",65841,"[-5.0, -2.0, -3.0, -1.0, -1.0, -4.0, -2.0, -4.0, -4.0, -3.0, -2.0, 2.0, -1.0, -4.0, -5.0, -3.0, -5.0, -3.0, -5.0, -3.0, -4.0, -3.0, -3.0, -1.0, -2.0]",-71.0,-2.84,2167,1354,-5.0,-4.0,-3.0,-2.0,2.0
9,900,"[134, 62, 62, 134, 62, 62, 62, 70, 108, 62, 141, 98, 98, 62, 98, 68, 98, 134, 324, 76, 62, 62, 98, 98, 62, 62, 62, 62, 113, 62, 98, 110, 98, 98, 98, 288, 98, 98, 62, 62, 63, 98, 211, 74, 134, 62, 62, 62, 134, 62, 175, 75, 62, 62, 62, 98, 62, 62, 147, 127, 75, 134, 71, 77, 62, 175, 98, 134, 98, 62, 73, 98, 64, 62, 134, 134, 211, 324, 58, 134, 324, 62, 62, 62, 62, 134, 175, 62, 62, 63, 62, 62, 98, 98, 69, 55, 247, 190, 62, 98]",75990,"[-4.0, 0.0, -3.0, -3.0, -4.0, 6.0, -4.0, 2.0, -5.0, 0.0, -4.0, -3.0, 2.0, 1.0, 0.0, -1.0, -4.0, -2.0, 1.0, -1.0, -3.0, -1.0, 7.0, -2.0, 5.0]",-20.0,-0.8,2396,1533,-5.0,-3.0,-1.0,1.0,7.0
