,trainingsizes,frames,masterframes,results,result_sums,mean,times,mini,result_q1,result_q2,result_q3,maxi
10,1000,"[62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 60, 62, 62, 62, 61, 62, 62, 60, 62, 62, 62, 62, 62, 58, 60, 62, 62, 62, 62, 58, 62, 20, 19, 62, 43, 62, 59, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 57, 62, 55, 62, 62, 62, 60, 62, 62, 62, 62, 59, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 60, 59, 62, 62]",62992,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1604,-5.0,-5.0,-5.0,-5.0,-5.0
11,1100,"[62, 62, 61, 60, 62, 62, 57, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 60, 62, 62, 60, 62, 62, 62, 60, 62, 62, 62, 62, 60, 60, 62, 75, 62, 62, 60, 62, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 59, 60, 66, 62, 62, 62, 44, 19, 38, 62, 62, 62, 62, 61, 62, 60, 62, 60, 62, 62, 62, 62, 62, 62, 60, 60, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 19, 53, 59, 62, 62, 59, 59, 62, 59]",69017,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1623,-5.0,-5.0,-5.0,-5.0,-5.0
12,1200,"[62, 62, 58, 60, 62, 62, 60, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 60, 62, 62, 58, 62, 59, 62, 62, 62, 62, 62, 62, 60, 61, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 43, 54, 19, 62, 60, 62, 62, 62, 60, 62, 62, 62, 62, 60, 62, 62, 59, 62, 62, 58, 61, 62, 62, 33, 62, 62, 62, 41, 51, 19, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 60, 56, 62, 62, 50]",74982,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1558,-5.0,-5.0,-5.0,-5.0,-5.0
13,1300,"[62, 62, 62, 58, 19, 35, 62, 29, 56, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 60, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 19, 39, 38, 38, 62, 62, 62, 62, 62, 62, 62, 59, 62, 58, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 54, 58, 62, 62, 62, 62, 62, 62, 60, 62, 60, 62, 57, 62, 62, 62, 54, 62, 62, 62, 62, 62, 62, 62, 60, 62, 60, 62, 36, 19, 48, 33, 19, 19, 19, 19, 38, 19, 19, 62, 60, 62, 61]",80511,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1455,-5.0,-5.0,-5.0,-5.0,-5.0
14,1400,"[62, 61, 62, 61, 62, 62, 58, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 57, 62, 62, 58, 62, 58, 62, 62, 62, 62, 61, 62, 62, 62, 62, 61, 62, 60, 62, 62, 62, 62, 60, 62, 62, 58, 43, 43, 62, 60, 62, 62, 59, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 58, 33, 19, 19, 62, 24, 26, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62]",86438,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1566,-5.0,-5.0,-5.0,-5.0,-5.0
15,1500,"[62, 62, 52, 35, 62, 52, 19, 39, 20, 19, 38, 19, 104, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 60, 59, 62, 62, 62, 60, 62, 62, 62, 61, 60, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62, 60, 62, 62, 60, 62, 62, 61, 62, 62, 62, 61, 61, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62]",92383,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1613,-5.0,-5.0,-5.0,-5.0,-5.0
16,1600,"[60, 62, 62, 62, 62, 62, 62, 62, 62, 61, 32, 19, 19, 19, 62, 62, 62, 40, 19, 19, 19, 75, 62, 62, 62, 62, 62, 62, 62, 61, 62, 59, 62, 62, 62, 42, 62, 39, 55, 19, 19, 19, 62, 62, 56, 62, 62, 62, 62, 62, 62, 62, 62, 56, 62, 69, 62, 74, 48, 62, 31, 19, 19, 19, 38, 19, 49, 72, 61, 62, 62, 58, 62, 62, 62, 62, 62, 61, 62, 58, 62, 62, 62, 53, 62, 19, 35, 19, 19, 19, 62, 53, 63, 62, 62, 60, 62, 62, 62, 62]",97635,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1354,-5.0,-5.0,-5.0,-5.0,-5.0
17,1700,"[60, 62, 62, 62, 58, 62, 62, 56, 62, 19, 42, 19, 38, 38, 19, 36, 19, 39, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 55, 62, 62, 62, 62, 62, 19, 19, 62, 19, 19, 19, 45, 64, 62, 62, 60, 58, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 58, 62, 61, 60, 55, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 59, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 19, 62, 22, 19, 52, 58, 62, 62, 62, 62, 62]",103128,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1401,-5.0,-5.0,-5.0,-5.0,-5.0
18,1800,"[62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 56, 60, 59, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 59, 62, 62, 62, 62, 62, 58, 61, 62, 60, 62, 59, 62, 62, 62, 60, 62, 62, 62, 62, 62, 60, 62, 62, 62, 61, 58, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 61, 62, 61, 62, 60, 62, 62, 62, 62, 62, 58, 62, 62, 61, 62, 62, 62, 62, 62, 61, 62, 62, 62, 19, 57, 75, 45, 38, 19, 54, 19]",109107,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1528,-5.0,-5.0,-5.0,-5.0,-5.0
19,1900,"[54, 62, 67, 62, 62, 62, 62, 62, 62, 62, 61, 62, 61, 62, 62, 62, 59, 71, 43, 62, 19, 65, 20, 62, 19, 35, 19, 37, 36, 39, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 69, 19, 19, 62, 62, 62, 30, 62, 60, 62, 60, 62, 62, 62, 62, 62, 62, 62, 57, 62, 33, 19, 38, 19, 19, 52, 19, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 60, 55, 39, 71, 62, 62, 62, 62, 62, 62]",114639,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1416,-5.0,-5.0,-5.0,-5.0,-5.0
