,trainingsizes,frames,masterframes,results,result_sums,mean,times,mini,result_q1,result_q2,result_q3,maxi
20,2000,"[61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 59, 61, 62, 57, 62, 21, 19, 33, 56, 19, 19, 19, 19, 43, 64, 62, 60, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 55, 69, 73, 36, 62, 62, 62, 58, 58, 62, 62, 57, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 60, 62, 62, 19, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 54, 60, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62]",120425,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1467,-5.0,-5.0,-5.0,-5.0,-5.0
21,2100,"[62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 58, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 60, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 56, 62, 62, 19, 52, 19, 53, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 42, 19, 19, 38, 62, 62, 61, 62, 62, 62, 62, 69, 45, 20, 36, 28, 19, 19, 19, 19, 38, 62, 39, 60, 62, 62, 62, 62]",126029,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1488,-5.0,-5.0,-5.0,-5.0,-5.0
22,2200,"[62, 62, 62, 24, 19, 62, 62, 38, 59, 19, 62, 54, 62, 62, 62, 60, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 60, 62, 62, 62, 59, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 60, 62, 62, 62, 22, 77, 19, 62, 62, 62, 58, 60, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 37, 19, 19, 62, 59, 62, 62, 62, 61, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 36, 19, 62, 19, 57, 62]",131741,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1484,-5.0,-5.0,-5.0,-5.0,-5.0
23,2300,"[62, 72, 45, 19, 62, 62, 62, 62, 60, 62, 62, 62, 63, 62, 55, 62, 62, 62, 62, 62, 60, 62, 62, 62, 66, 74, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 58, 62, 62, 59, 62, 61, 62, 62, 59, 62, 62, 62, 57, 62, 62, 61, 62, 60, 62, 62, 62, 60, 62, 62, 62, 62, 62, 61, 59, 62, 62, 62, 62, 62, 62, 61, 62, 62, 59, 58, 62, 62, 62, 58, 62, 62, 62, 62, 62, 57, 62, 62, 62, 62, 62, 62]",137852,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1626,-5.0,-5.0,-5.0,-5.0,-5.0
24,2400,"[60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 58, 60, 62, 62, 62, 62, 63, 59, 62, 54, 49, 62, 62, 62, 62, 56, 62, 62, 62, 62, 62, 62, 62, 56, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 19, 62, 72, 41, 19, 19, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 44, 38, 62, 66, 62, 62, 62, 62, 61, 62, 62, 58, 62, 60, 60, 62, 60, 60, 62, 62, 61, 62, 62, 61, 62, 60, 62]",143810,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1531,-5.0,-5.0,-5.0,-5.0,-5.0
25,2500,"[62, 62, 43, 62, 62, 62, 56, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 60, 60, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 59, 62, 62, 62, 62, 62, 62, 62, 60, 62, 60, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 66, 52, 19, 19, 62, 62, 76, 62, 62, 62, 61, 62, 59, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 42, 53, 38, 44, 62, 62]",149812,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1574,-5.0,-5.0,-5.0,-5.0,-5.0
26,2600,"[62, 62, 62, 62, 56, 62, 62, 61, 62, 62, 58, 62, 61, 62, 62, 62, 62, 71, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 61, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 56, 60, 56, 61, 62, 62, 62, 62, 58, 74, 62, 62, 62, 43, 19, 19, 38, 19, 19, 38, 19, 20, 62, 60, 62, 62, 62, 62, 61, 60, 62, 58, 61, 62, 62, 63, 62, 98, 41, 19, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 59, 60, 62, 62, 27, 62, 62]",155595,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1471,-5.0,-5.0,-5.0,-5.0,-5.0
27,2700,"[74, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 60, 59, 62, 58, 62, 62, 62, 62, 62, 62, 58, 62, 62, 60, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 59, 62, 62, 66, 19, 19, 38, 36, 64, 37, 19, 60, 35, 62, 62, 60, 57, 62, 62, 60, 61, 62, 62, 62, 60, 62, 62, 56, 62, 62, 62, 62, 62, 61, 62, 62, 61, 62, 62, 62, 60, 62, 60, 62, 62, 59, 62, 19, 19, 19, 19, 62, 67, 62, 19, 38, 62]",161298,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1456,-5.0,-5.0,-5.0,-5.0,-5.0
28,2800,"[33, 46, 48, 62, 60, 62, 62, 62, 62, 62, 62, 62, 60, 61, 59, 62, 60, 62, 62, 62, 62, 62, 54, 62, 33, 19, 62, 19, 19, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 48, 62, 27, 19, 42, 62, 19, 19, 62, 62, 52, 62, 62, 62, 60, 55, 62, 62, 62, 62, 61, 62, 62, 62, 62, 60, 62, 62, 72, 39, 19, 19, 37, 19, 19, 19, 57, 19, 19, 19, 33, 71, 62, 58, 62, 62, 62, 64, 62, 62, 62, 59, 62, 62, 62, 61]",166628,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1341,-5.0,-5.0,-5.0,-5.0,-5.0
29,2900,"[62, 60, 62, 61, 61, 61, 61, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 59, 62, 62, 61, 51, 62, 38, 19, 19, 19, 52, 62, 59, 20, 52, 38, 62, 60, 58, 62, 62, 62, 62, 61, 62, 62, 62, 60, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 19, 19, 48, 38, 19, 62, 62, 61, 60, 62, 57, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 58, 62, 62, 60, 62, 62]",172362,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1514,-5.0,-5.0,-5.0,-5.0,-5.0
30,3000,"[62, 62, 62, 62, 62, 62, 60, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 57, 58, 62, 62, 61, 62, 62, 67, 62, 62, 58, 62, 62, 60, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62]",178537,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1556,-5.0,-5.0,-5.0,-5.0,-5.0
31,3100,"[62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 62, 58, 62, 62, 62, 62, 62, 62, 60, 62, 62, 61, 62, 62, 59, 62, 62, 62, 62, 60, 61, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 57, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 56, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62]",184696,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1627,-5.0,-5.0,-5.0,-5.0,-5.0
32,3200,"[62, 62, 62, 62, 60, 62, 62, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 22, 38, 19, 55, 48, 62, 38, 58, 19, 19, 56, 59, 62, 19, 69, 62, 33, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 60, 61, 62, 60, 62, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 19, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 62, 62, 56, 62, 62, 54, 62, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62, 62, 59, 61, 62]",190490,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1497,-5.0,-5.0,-5.0,-5.0,-5.0
33,3300,"[62, 62, 62, 62, 61, 62, 62, 60, 62, 55, 62, 58, 62, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 60, 62, 62, 60, 62, 62, 62, 59, 62, 62, 60, 62, 62, 62, 62, 62, 19, 62, 42, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 36, 19, 38, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 61, 62, 54, 60, 62, 60, 62, 62, 60]",196486,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1513,-5.0,-5.0,-5.0,-5.0,-5.0
34,3400,"[62, 62, 62, 62, 62, 62, 57, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 56, 62, 62, 62, 62, 62, 62, 61, 60, 62, 62, 62, 58, 21, 62, 49, 38, 62, 62, 62, 19, 62, 62, 67, 62, 59, 62, 62, 61, 57, 62, 56, 62, 62, 60, 58, 62, 62, 60, 62, 62, 62, 62, 62, 62, 29, 19, 57, 50, 19, 62, 62, 62, 62, 62, 62, 61, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 59, 61, 62, 62, 62, 62]",202386,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1483,-5.0,-5.0,-5.0,-5.0,-5.0
35,3500,"[62, 62, 62, 62, 62, 62, 62, 62, 54, 62, 60, 62, 62, 62, 38, 98, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 63, 45, 62, 58, 33, 54, 19, 62, 26, 51, 19, 38, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 61, 60, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 60, 62, 62, 62, 59, 60, 62, 62, 62, 62, 62, 19, 98, 19, 36, 19, 19, 19, 62, 54, 62, 62, 60, 62, 62, 62, 62, 62, 54, 49, 19, 19, 38, 19, 62, 62]",207970,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1529,-5.0,-5.0,-5.0,-5.0,-5.0
36,3600,"[58, 60, 62, 58, 66, 62, 47, 63, 27, 49, 19, 19, 19, 19, 19, 62, 62, 62, 62, 60, 62, 62, 60, 62, 62, 62, 62, 61, 61, 62, 62, 62, 58, 61, 62, 62, 60, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 56, 62, 62, 60, 60, 78, 19, 62, 62, 63, 19, 62, 22, 33, 20, 19, 19, 54, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 59, 62, 41, 46, 75, 19, 19, 19, 62, 98, 50, 62, 62]",213453,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1534,-5.0,-5.0,-5.0,-5.0,-5.0
37,3700,"[60, 62, 62, 62, 62, 62, 62, 62, 56, 62, 62, 62, 62, 60, 62, 65, 19, 45, 19, 19, 62, 63, 62, 62, 26, 62, 19, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 44, 62, 39, 37, 19, 19, 25, 35, 62, 39, 62, 62, 61, 62, 62, 62, 61, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 61, 58, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 56, 62, 60, 62, 49, 35, 19, 19, 19, 50, 40, 19, 45, 62, 62, 62]",218898,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1412,-5.0,-5.0,-5.0,-5.0,-5.0
38,3800,"[62, 62, 62, 62, 62, 59, 62, 62, 63, 62, 62, 62, 56, 62, 62, 61, 56, 62, 60, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 62, 60, 60, 62, 62, 62, 61, 62, 60, 62, 62, 58, 62, 62, 62, 62, 60, 62, 62, 62, 58, 61, 61, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 60, 61, 62, 62, 62, 41, 38, 19, 20, 62, 19, 19, 49, 62, 19, 19, 62]",224732,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1479,-5.0,-5.0,-5.0,-5.0,-5.0
39,3900,"[55, 64, 62, 62, 62, 62, 62, 62, 26, 19, 56, 62, 62, 41, 62, 67, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 56, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 58, 62, 62, 61, 60, 62, 60, 62, 62, 62, 60, 60, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 60, 62, 62, 62, 61, 62, 62, 60, 62, 62, 62, 61]",230785,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1534,-5.0,-5.0,-5.0,-5.0,-5.0
40,4000,"[62, 75, 33, 19, 35, 54, 62, 72, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 60, 62, 60, 62, 62, 62, 60, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 62, 62, 62, 62, 19, 56, 19, 19, 105, 23, 61, 61, 62, 60, 61, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 61, 62, 62, 62, 62, 73, 67, 69, 62, 62, 68, 33, 62, 33, 19, 19, 19, 71, 62, 62, 62, 62, 62, 62, 62]",236594,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1513,-5.0,-5.0,-5.0,-5.0,-5.0
41,4100,"[62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 58, 60, 62, 62, 62, 58, 62, 62, 60, 62, 62, 62, 62, 62, 60, 62, 60, 62, 62, 62, 60, 62, 62, 62, 60, 62, 62, 62, 62, 62, 52, 62, 62, 19, 27, 54, 19, 69, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 61, 61, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 63, 37, 19, 19, 38, 19]",242451,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1590,-5.0,-5.0,-5.0,-5.0,-5.0
42,4200,"[36, 19, 19, 19, 19, 62, 62, 62, 62, 62, 60, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 59, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 76, 74, 20, 62, 59, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 57, 60, 62, 56, 62, 62, 62, 62, 58, 62, 59, 62, 62, 62, 62, 60, 62, 62, 61, 60, 62, 62, 62, 62, 60, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62]",248389,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1575,-5.0,-5.0,-5.0,-5.0,-5.0
43,4300,"[62, 62, 61, 62, 62, 62, 58, 62, 61, 62, 61, 60, 62, 58, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 60, 62, 61, 62, 62, 62, 62, 61, 61, 62, 61, 62, 62, 62, 62, 57, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62, 62, 58, 61, 62, 62, 62, 60, 61, 60, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 58, 49, 19, 19, 19, 43, 62, 62, 24, 70]",254349,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1540,-5.0,-5.0,-5.0,-5.0,-5.0
44,4400,"[62, 62, 60, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 58, 62, 62, 62, 19, 62, 78, 62, 61, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 64, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 56, 59, 62, 58, 62, 62, 62, 60, 62, 62, 62, 62, 60, 62, 62, 60, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 61, 62, 59, 62, 62, 62, 62]",260484,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1618,-5.0,-5.0,-5.0,-5.0,-5.0
45,4500,"[61, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 61, 60, 62, 62, 31, 57, 54, 35, 19, 38, 19, 78, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 56, 62, 60, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 61, 56, 62, 62, 62, 62, 62, 62, 61, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62]",266477,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1541,-5.0,-5.0,-5.0,-5.0,-5.0
46,4600,"[62, 62, 60, 62, 62, 60, 62, 62, 62, 60, 62, 60, 62, 62, 62, 62, 62, 62, 19, 19, 19, 19, 62, 19, 19, 62, 53, 19, 38, 58, 62, 62, 61, 62, 62, 62, 62, 62, 59, 60, 62, 61, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 61, 62, 62, 58, 62, 62, 62, 62, 35, 19, 19, 62, 62, 62, 62, 62, 62, 62, 58, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 47, 44]",272163,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1450,-5.0,-5.0,-5.0,-5.0,-5.0
47,4700,"[33, 59, 35, 62, 62, 78, 61, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 54, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 72, 37, 19, 38, 62, 44, 19, 19, 62, 63, 19, 19, 19, 52, 19, 62, 69, 70, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 60, 60, 62, 62, 62, 62, 62, 62, 62, 20, 62, 62, 62, 46, 19, 62, 62, 62, 62, 62, 60, 62, 62, 62, 60, 62, 62, 62, 62]",277843,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1446,-5.0,-5.0,-5.0,-5.0,-5.0
48,4800,"[62, 61, 62, 62, 61, 61, 62, 62, 62, 62, 62, 62, 62, 58, 60, 62, 62, 62, 62, 58, 62, 61, 62, 61, 38, 62, 48, 62, 62, 58, 62, 62, 62, 62, 61, 62, 59, 62, 58, 62, 62, 61, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 60, 61, 62, 60, 58, 62, 62, 62, 62, 59, 62, 61, 62, 62, 62, 62, 62, 59, 62, 61, 62, 62, 62, 62, 62, 62, 62, 54, 58, 62, 60]",283937,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1607,-5.0,-5.0,-5.0,-5.0,-5.0
