"(7, 2, 15, 0)","{0: 0.6456907139019128, 1: 0.9579173646797687}"
"(7, 2, 15, -8.0)","{1: 0.7821483222885899, 0: 0.784966826677016}"
"(6, 2, 15, -7.0)","{1: 0.9999999999732361, 0: 1.1611648777458119e-05}"
"(6, 2, 15, -6.0)","{0: 0.0009988024354799147, 1: 0.9999704873345693}"
"(6, 2, 15, -8.0)","{0: 0.8245315088534856, 1: 0.3104259427484295}"
"(6, 2, 14, 0.0)","{0: 0.020134309967365947, 1: 0.9999999999999996}"
"(6, 2, 14, -8.0)","{1: 0.27229461599821664, 0: 0.8348878372986679}"
"(5, 2, 14, -8.0)","{1: 0.431236649227092, 0: 0.5254343575016891}"
"(5, 2, 14, -7.0)","{1: 0.9999999998810337, 0: 0.004283088705962589}"
"(5, 2, 14, -6.0)","{0: 0.07608768600109866, 1: 0.9999897095698544}"
"(5, 2, 13, -8.0)","{0: 0.7687968652491479, 1: 0.36712271089396475}"
"(5, 2, 13, 0.0)","{1: 0.999999999999726, 0: 6.720895297997344e-11}"
"(5, 2, 13, 1.0)","{1: 0.9855217079578134, 0: 8.187306833934388e-05}"
"(5, 2, 13, 2.0)","{0: 0.0017948179856842451, 1: 0.9933813546610221}"
"(5, 2, 12, -8.0)","{1: 0.30396298593042004, 0: 0.808928839626993}"
"(4, 2, 12, -8.0)","{0: 0.6543213786653723, 1: 0.31324186120816117}"
"(4, 2, 11, -8.0)","{1: 0.407548053860004, 0: 0.6408496275056179}"
"(3, 2, 11, -7.0)","{1: 0.9152251193458657, 0: 0.12069996852186511}"
"(3, 2, 11, -6.0)","{1: 0.8894037002901352, 0: 0.1894236159113253}"
"(3, 2, 11, -5.0)","{0: 0.09824425894176865, 1: 0.8505402288332797}"
"(3, 2, 11, -8.0)","{1: 0.28120550254112203, 0: 0.7961237906439975}"
"(3, 2, 10, -8.0)","{1: 0.33061892368659684, 0: 0.6744089795093297}"
"(2, 2, 10, -7.0)","{1: 0.044698846987155975, 0: 0.30300424237768664}"
"(2, 2, 10, -6.0)","{0: 0.5791178529007673, 1: 0.3196244247988222}"
"(2, 2, 10, -8.0)","{1: 0.5505978643319797, 0: 0.503092199385943}"
"(1, 2, 9, -8.0)","{1: 0.4572109248435031, 0: 0.849540680070133}"
"(1, 2, 9, -7.0)","{0: 0.07284526539813059, 1: 0.8576288152268803}"
"(0, 2, 8, -8.0)","{1: 0.49871323828228536, 0: 0.8119828399480106}"
"(0, 2, 8, 0.0)","{1: 0.9960083953755137, 0: 0.5150260257142426}"
"(0, 2, 7, 1.0)","{0: 0.381443711269646, 1: 0.9996704631325527}"
"(0, 2, 7, -8.0)","{1: 0.16169073528627856, 0: 0.3410126263115057}"
"(7, 2, 15, -7.0)","{1: 0.9999983016120952, 0: 0.8424462749326288}"
"(7, 2, 15, -15.0)","{1: 0.9993734212517822, 0: 0.9721871610556306}"
"(6, 2, 15, -15.0)","{1: 0.9999966507093085, 0: 1.1354157548888337e-05}"
"(6, 2, 15, -14.0)","{0: 0.009027154763549016, 1: 0.9721871610556306}"
"(5, 2, 15, -8.0)","{1: 0.2022350791396598, 0: 0.8985154860969131}"
"(4, 2, 14, -8.0)","{1: 0.3063083516698177, 0: 0.669406330603209}"
"(4, 2, 14, -7.0)","{0: 0.2942184731532078, 1: 0.8649148282327008}"
"(4, 2, 13, -8.0)","{0: 0.5871553149306064, 1: 0.2667885543578729}"
"(4, 2, 13, 0.0)","{1: 0.9999363964826677, 0: 0.00010763425964223843}"
"(4, 2, 13, 1.0)","{1: 0.9751390822452223, 0: 0.012842359008318467}"
"(4, 2, 13, 2.0)","{1: 0.7941088679053511, 0: 0.03486784401}"
"(4, 2, 12, 3.0)","{1: 0.8784233454094308, 0: 0.009847709021836116}"
"(4, 2, 12, 4.0)","{1: 0.6125795110000001, 0: 0.0}"
"(4, 2, 12, 5.0)","{1: 0.271, 0: 0.09}"
"(4, 2, 12, 6.0)",{0: 0.1}
"(4, 2, 11, 0.0)","{1: 0.9999999999999996, 0: 1.0643856493120294e-15}"
"(4, 2, 11, 1.0)","{1: 0.9999999993999826, 0: 4.2303785110144776e-10}"
"(4, 2, 11, 2.0)","{1: 0.9999811699045074, 0: 0.0}"
"(4, 2, 11, 3.0)","{0: 0.0018425700865962935, 1: 0.9942735831029776}"
"(4, 2, 10, -8.0)","{1: 0.15425677822994055, 0: 0.7788736168471919}"
"(4, 2, 10, -7.0)","{1: 0.9990999490995199, 0: 0.0}"
"(4, 2, 10, -6.0)","{0: 0.014863654275347069, 1: 0.9774716004550608}"
"(3, 2, 10, 0.0)","{1: 0.9999999999999996, 0: 0.10066397087251049}"
"(3, 2, 9, 1.0)","{1: 0.9999999958905436, 0: 2.260568696958478e-05}"
"(3, 2, 9, 2.0)","{0: 0.08198520428487592, 1: 0.999996210966221}"
"(3, 2, 9, -8.0)","{1: 0.2972753227351551, 0: 0.751440548692728}"
"(3, 2, 8, 0.0)","{1: 0.9999999960910414, 0: 1.5227351143526164e-06}"
"(3, 2, 8, 1.0)","{0: 0.0003014168018034596, 1: 0.9999787097697388}"
"(3, 2, 8, -8.0)","{1: 0.3630417944660219, 0: 0.6586111847929487}"
"(2, 2, 8, -8.0)","{0: 0.7623173381069207, 1: 0.36420769911653894}"
"(2, 2, 7, -8.0)","{0: 0.6736670697244039, 1: 0.2954696429159789}"
"(2, 2, 7, 0.0)","{1: 0.9999999999987025, 0: 2.7332821982089325e-11}"
"(2, 2, 7, 1.0)","{0: 0.0, 1: 0.9999990879655439}"
"(2, 2, 6, -8.0)","{0: 0.7173178532480149, 1: 0.3282042246180685}"
"(2, 2, 6, 0.0)","{1: 0.9999999986145485, 0: 0.0}"
"(2, 2, 6, 1.0)","{0: 2.294189009540561e-05, 1: 0.9999959689795934}"
"(1, 2, 6, -8.0)","{0: 0.621238103886998, 1: 0.23888844230474263}"
"(1, 2, 6, 0.0)","{1: 0.9999999999990759, 0: 0.03143686546221207}"
"(1, 2, 5, 1.0)","{1: 0.9044719792140941, 0: 0.3295045642615839}"
"(1, 2, 5, 2.0)","{1: 0.9219777452909752, 0: 0.2664734916191445}"
"(2, 2, 5, 3.0)","{1: 0.8564581869347131, 0: 0.028242953648100005}"
"(2, 2, 5, 4.0)","{0: 0.06698500254809998, 1: 0.7941088679053511}"
"(1, 2, 5, -8.0)","{1: 0.20810578302011584, 0: 0.5321662840844785}"
"(1, 2, 4, -8.0)","{1: 0.593577102014919, 0: 0.0828889528647765}"
"(1, 2, 4, -7.0)","{0: 0.647450895059376, 1: 0.12770543545055404}"
"(1, 2, 4, 0.0)","{1: 0.0008925841694634659, 0: 0.6532498675807156}"
"(1, 2, 4, 1.0)","{0: 0.7327451924742192, 1: 0.009938850425246573}"
"(1, 2, 3, -8.0)","{1: -0.32182116941348593, 0: -1.8502656081027098}"
"(0, 2, 3, -8.0)","{1: -3.5868149410960415, 0: -2.4142147313306888}"
"(0, 2, 3, -7.0)","{1: -2.731269585073116, 0: -1.0368138465140875}"
"(7, 3, 15, -6.0)","{0: 0.41632460433616325, 1: 0.015351070594141302}"
"(7, 3, 15, -8.0)","{0: 0.7282066628183996, 1: 0.9622287990228362}"
"(7, 3, 15, 0.0)","{0: 0.2601674683455447, 1: 0.9763170362717424}"
"(6, 3, 15, -8.0)","{0: 0.8539046461584601, 1: 0.3563754212486868}"
"(6, 3, 14, 0.0)","{0: 0.013508517176729925, 1: 0.9999999999999996}"
"(6, 3, 14, -8.0)","{1: 0.13763380442477144, 0: 0.7208648292250112}"
"(5, 3, 14, -8.0)","{1: 0.5251674988396007, 0: 0.6444359884137375}"
"(5, 3, 13, -8.0)","{0: 0.8273881152929585, 1: 0.40492115145676266}"
"(5, 3, 13, 0.0)","{0: 4.605922462312816e-05, 1: 0.9999999999999996}"
"(5, 3, 12, 1.0)","{1: 0.7016598793313523, 0: 0.2576702858190143}"
"(5, 3, 12, 2.0)","{1: 0.6318891396018066, 0: 0.04557295822529651}"
"(5, 3, 12, 3.0)","{0: 0.16427962713231412, 1: 0.7433490850053082}"
"(5, 3, 12, -8.0)","{0: 0.8248784611366063, 1: 0.4033271030262168}"
"(5, 3, 12, 0.0)","{1: 0.9447285767275395, 0: 0.11046714067043159}"
"(5, 3, 11, 1.0)","{0: 0.6258874069591583, 1: 0.1311483727890228}"
"(4, 3, 11, -8.0)","{1: 0.4814564912760086, 0: 0.6429274012019669}"
"(4, 3, 11, 0.0)","{1: 0.9999976094740972, 0: 2.5160530722982586e-07}"
"(4, 3, 10, 1.0)","{1: 0.9999992253168128, 0: 2.3084948497268815e-07}"
"(4, 3, 10, 2.0)","{0: 0.0003605225598254998, 1: 0.9813981083260951}"
"(4, 3, 10, -8.0)","{1: 0.3992765499687325, 0: 0.8739704134957752}"
"(3, 3, 10, -7.0)","{0: 0.005473618831069492, 1: 0.9999998454437193}"
"(3, 3, 9, -8.0)","{1: 0.4411398879730938, 0: 0.6913557024043036}"
"(3, 3, 9, -7.0)","{0: 0.00019894172559577428, 1: 0.9999983656868296}"
"(2, 3, 9, -8.0)","{1: 0.19446515735233819, 0: 0.801577909618879}"
"(2, 3, 8, -7.0)","{0: 0.00034151286040672143, 1: 0.9998369961751556}"
"(2, 3, 8, -8.0)","{1: 0.22266832669370615, 0: 0.6657544764514052}"
"(1, 3, 8, -8.0)","{1: 0.3153849942212046, 0: 0.6688207420407127}"
"(1, 3, 7, -8.0)","{1: 0.2316337463052356, 0: 0.6611679810887682}"
"(1, 3, 7, -7.0)","{1: 0.8297244798037482, 0: 0.012798139330366342}"
"(1, 3, 7, -6.0)","{0: 0.005753883685992113, 1: 0.9985444216570694}"
"(0, 3, 7, -8.0)","{1: -0.19352710842370227, 0: -0.015116632739922406}"
"(0, 3, 6, -8.0)","{1: 0.27113555357538055, 0: 0.5603332857450074}"
"(0, 3, 6, -7.0)","{1: -0.007935410696677025, 0: -0.10094183874069734}"
"(0, 3, 6, -6.0)","{1: -0.5332275323003168, 0: 0.18725431866732886}"
"(7, 5, 15, -5.0)","{0: 0.3053395460680569, 1: 0.8428247686702659}"
"(7, 5, 15, -8.0)","{1: 0.6590878770980793, 0: 0.47376786142134397}"
"(6, 5, 15, -8.0)","{0: 0.7898606366698958, 1: 0.3589871832364795}"
"(6, 5, 15, 0.0)","{1: 0.9999999975020037, 0: 5.253355206920537e-05}"
"(6, 5, 15, 1.0)","{1: 0.9997572505549683, 0: 0.0}"
