"(7, 4, 15, -8.0)","{1: 0.7236843172932087, 0: 0.24983349789516035}"
"(6, 4, 15, -8.0)","{0: 0.6106917735190001, 1: 0.2844918572671}"
"(6, 4, 15, 0.0)","{1: 0.09, 0: 0.0}"
"(6, 4, 15, 1.0)",{0: 0.09}
"(6, 4, 14, -8.0)","{0: 0.6275926065142359, 1: 0.2817316436481}"
"(6, 4, 14, 0.0)","{0: 0.0, 1: 0.5132894039100001}"
"(5, 4, 14, -8.0)","{1: 0.37667940391000004, 0: 0.4418293721932901}"
"(5, 4, 13, -8.0)","{0: 0.3221036155503901, 1: 0.43124462461900004}"
"(5, 4, 13, 0.0)","{1: 0.081, 0: 0.081}"
"(5, 4, 13, 1.0)",{0: 0.17099999999999999}
"(5, 4, 12, -8.0)","{1: 0.4961894039100001, 0: 0.15211074960900003}"
"(4, 4, 12, -8.0)","{1: 0.506745182605816, 0: 0.68618940391}"
"(4, 4, 12, -7.0)","{1: 0.181, 0: 0.181}"
"(4, 4, 12, -6.0)",{1: 0.09}
"(4, 4, 12, -5.0)","{0: 0.1, 1: 0.1}"
"(4, 4, 11, -8.0)","{1: 0.30097554144039, 0: 0.54030666445039}"
"(3, 4, 11, -8.0)","{0: 0.33538869000000004, 1: 0.5690389754503901}"
"(3, 4, 10, -8.0)","{0: 0.7334283201848695, 1: 0.6370879754503901}"
"(2, 4, 10, -8.0)","{0: 0.314659, 1: 0.51638869}"
"(2, 4, 10, 0.0)","{1: 0.271, 0: 0.1}"
"(2, 4, 10, 1.0)",{0: 0.1}
"(2, 4, 9, 0.0)","{0: 0.09, 1: 0.1}"
"(2, 4, 9, -8.0)","{1: 0.274995721, 0: 0.296535411}"
"(1, 4, 9, -8.0)","{1: 0.27855900000000006, 0: 0.5047115599}"
"(1, 4, 8, -8.0)","{1: 0.081, 0: 0.47953279000000004}"
"(0, 4, 8, -8.0)","{1: -0.15610000000000002, 0: 0.271}"
"(0, 4, 7, -8.0)","{1: 0.34390000000000004, 0: -0.17899999999999994}"
